Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_CLKNHDV2, Area: 0.840000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_CLKNHDV20, Area: 3.920000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_CLKNHDV24, Area: 4.760000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_CLKNHDV3, Area: 1.120000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_CLKNHDV32, Area: 6.160000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_CLKNHDV4, Area: 1.120000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_CLKNHDV48, Area: 8.960000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_CLKNHDV6, Area: 1.400000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_CLKNHDV64, Area: 11.760000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_CLKNHDV8, Area: 1.960000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_CLKXOR2HDV0, Area: 2.800000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_CLKXOR2HDV1, Area: 2.800000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_CLKXOR2HDV2, Area: 2.800000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_CLKXOR2HDV4, Area: 3.080000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_DELHD0, Area: 2.240000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_DELHD1, Area: 2.240000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_DELHD2, Area: 2.240000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_DELHD3, Area: 2.800000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_DELHD4, Area: 3.080000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_DGRNHDV0, Area: 6.720000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_DGRNHDV1, Area: 6.720000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_DGRNHDV2, Area: 6.720000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_DGRNHDV4, Area: 7.280000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_DGRNQHDV0, Area: 5.880000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_DGRNQHDV1, Area: 5.880000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_DGRNQHDV2, Area: 5.880000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_DGRNQHDV4, Area: 6.440000
